keywords,tokens
% of regional gdp,['gdp' 'region']
10' grid,['grid']
1990 climate,['climat']
1:100 year flood event probability,['event' 'flood' 'probabl' 'year']
1d 2d hydrodynamic simulation,['simul']
2008 food crisis,['crisi' 'food']
2016 drought,['drought']
2021 southwestern us drought,['drought' 'southwestern']
21st century climate change,['climat']
21st century sea level rise,['level' 'rise' 'sea']
21st century seasonal climate projections,['climat' 'project' 'season']
21st century simulations,['simul']
2d coupled model,['model']
2°c goal,['goal']
2°c threshold,['threshold']
4th national climate assessment,['assess' 'climat' 'nation']
50th percentile,['percentil']
5th coupled model intercomparison project,['intercomparison' 'model' 'project']
>20 degrees c warming,['degre' 'warm']
a1b emissions scenario,['scenario']
a1b scenario,['scenario']
a2 climate change scenario,['climat' 'scenario']
a2 scenario,['scenario']
aauw,['aauw']
abandonment,['abandon']
abatement costs,['cost']
abatement measures,['measur']
abatement policies,['polici']
abiotic stress,['abiot' 'stress']
above average rain and snow,['rain' 'snow']
abrupt climate change,['abrupt' 'climat']
abruzzo region,['abruzzo' 'region']
absolute damage,['absolut']
absolute monetary terms,['absolut' 'term']
absolute threshold,['absolut' 'threshold']
absolute water scarcity,['absolut' 'water']
abstract,['abstract']
abstract architecture,['abstract' 'architectur']
abstract ratings,['abstract' 'rate']
abstraction,['abstract']
abundant species,['speci']
acacias,['acacia']
academia,['academia']
academic background,['background']
academic careers,['career']
academic departments,['depart']
academic literature,['literatur']
accelerated sea level rise,['acceler' 'level' 'rise' 'sea']
acceptable risk,['accept' 'risk']
acceptable risk level,['accept' 'level' 'risk']
acceptance,['accept']
acceptance of implemented measures,['accept' 'implement' 'measur']
access,['access']
access rights,['access' 'right']
access routes,['access' 'rout']
access to assets,['access' 'asset']
access to clean water,['access' 'clean' 'water']
access to climate change information,['access' 'climat' 'inform']
access to climate information,['access' 'climat' 'inform']
access to credit,['access' 'credit']
access to extension,['access']
access to extension services,['access' 'servic']
access to formal credit,['access' 'credit' 'formal']
access to information,['access' 'inform']
access to land,['access' 'land']
access to natural resources,['access' 'resourc']
access to non farm income source,['access' 'farm' 'incom' 'non' 'sourc']
access to road,['access' 'road']
access to water,['access' 'water']
accessibility,['access']
accessible,['access']
accessing information,['access' 'inform']
acclimatisation,['acclimatis']
accommodate,['accommod']
accommodation,['accommod']
accountability,['account']
accounting,['account']
accra,['accra']
accretion,['accret']
accumulated frost days,['day' 'frost']
accuracy of representation,['represent']
accurate weather forecasting,['forecast' 'weather']
acidification,['acidif']
acidity,['acid']
acoustic impacts,['impact']
act then learn atl process,['act' 'atl' 'learn' 'process']
action,['action']
action plan,['action' 'plan']
action plans,['action' 'plan']
action programmes,['action' 'programm']
action sequences,['action' 'sequenc']
action situations,['action' 'situat']
action steps,['action' 'step']
action timing,['action' 'time']
actionable decisions,['action' 'decis']
actionable outcomes,['action']
actionable science,['action' 'scienc']
actions,['action']
active adaptive management,['activ' 'adapt' 'manag']
active management,['activ' 'manag']
active participation,['activ']
active transportation,['activ' 'transport']
actor,['actor']
actor contingent elements,['actor' 'conting' 'element']
actor focussed,['actor' 'focuss']
actor oriented theory,['actor' 'orient']
actor spectrum,['actor' 'spectrum']
actors,['actor']
actors and institutions,['actor' 'institut']
actual crop evapotranspiration,['actual' 'crop' 'evapotranspir']
actual impacts,['actual' 'impact']
ad hoc,['hoc']
adapt,['adapt']
adaptability,['adapt']
adaptaclima platform,['adaptaclima' 'platform']
adaptation,['adapt']
adaptation action,['action' 'adapt']
adaptation actions,['action' 'adapt']
adaptation activities,['activ' 'adapt']
adaptation actors,['actor' 'adapt']
adaptation analysis,['adapt']
adaptation and mitigation strategies,['adapt' 'strategi']
adaptation and vulnerability cciav assessment,['adapt' 'assess' 'vulner']
adaptation appraisal,['adapt' 'apprais']
adaptation approach,['adapt' 'approach']
adaptation approaches,['adapt' 'approach']
adaptation assessment,['adapt' 'assess']
adaptation barriers,['adapt' 'barrier']
adaptation behaviour,['adapt' 'behaviour']
adaptation belief,['adapt' 'belief']
adaptation benefits,['adapt' 'benefit']
adaptation campaigns,['adapt' 'campaign']
adaptation capabilities,['adapt' 'capabl']
adaptation capacities,['adapt' 'capac']
adaptation capacity,['adapt' 'capac']
adaptation capacity potential,['adapt' 'capac']
adaptation case,['adapt' 'case']
adaptation challenge,['adapt']
adaptation challenges,['adapt']
adaptation channels,['adapt' 'channel']
adaptation choices,['adapt']
adaptation cost estimation,['adapt' 'cost' 'estim']
adaptation costs,['adapt' 'cost']
adaptation cycle,['adapt']
adaptation data,['adapt' 'data']
adaptation decision making,['adapt' 'decis' 'make']
adaptation decisions,['adapt' 'decis']
adaptation design tool,['adapt' 'design' 'tool']
adaptation determinants,['adapt' 'determin']
adaptation efforts,['adapt' 'effort']
adaptation finance,['adapt']
adaptation financing,['adapt']
adaptation framework,['adapt' 'framework']
adaptation funds,['adapt' 'fund']
adaptation goals,['adapt' 'goal']
adaptation governance,['adapt' 'govern']
adaptation implementation,['adapt' 'implement']
adaptation implications,['adapt' 'implic']
adaptation indicators,['adapt']
adaptation information system,['adapt' 'inform']
adaptation infrastructure,['adapt' 'infrastructur']
adaptation initiatives,['adapt']
adaptation interventions,['adapt' 'intervent']
adaptation investment,['adapt' 'invest']
adaptation investments,['adapt' 'invest']
adaptation journeys,['adapt' 'journey']
adaptation knowledge,['adapt']
adaptation knowledge cycle,['adapt']
adaptation levers,['adapt' 'lever']
adaptation management,['adapt' 'manag']
adaptation management strategies,['adapt' 'manag' 'strategi']
adaptation measures,['adapt' 'measur']
adaptation measures and plans,['adapt' 'measur' 'plan']
adaptation measures integration,['adapt' 'integr' 'measur']
adaptation mitigation interactions,['adapt' 'interact']
adaptation motivation,['adapt']
adaptation needs,['adapt' 'need']
adaptation objectives,['adapt' 'object']
adaptation of agricultural techniques,['adapt' 'techniqu']
adaptation option,['adapt' 'option']
adaptation options,['adapt' 'option']
adaptation oriented approaches,['adapt' 'approach' 'orient']
adaptation pathways,['adapt' 'pathway']
adaptation pathways approach,['adapt' 'approach' 'pathway']
adaptation plan,['adapt' 'plan']
adaptation plan development,['adapt' 'develop' 'plan']
adaptation plan of action,['action' 'adapt' 'plan']
adaptation planning,['adapt' 'plan']
adaptation planning process,['adapt' 'plan' 'process']
adaptation plans,['adapt' 'plan']
adaptation policies,['adapt' 'polici']
adaptation policy,['adapt' 'polici']
adaptation policy assessment framework,['adapt' 'assess' 'framework' 'polici']
adaptation policy scenarios,['adapt' 'polici' 'scenario']
adaptation practices,['adapt' 'practic']
adaptation priorities,['adapt']
adaptation processes,['adapt' 'process']
adaptation processes to pathways framework,['adapt' 'framework' 'pathway' 'process']
adaptation requirements,['adapt' 'requir']
adaptation research,['adapt' 'research']
adaptation resources,['adapt' 'resourc']
adaptation response,['adapt' 'respons']
adaptation response surfaces,['adapt' 'respons']
adaptation responses,['adapt' 'respons']
adaptation scenario,['adapt' 'scenario']
adaptation scenarios,['adapt' 'scenario']
adaptation science governance,['adapt' 'govern' 'scienc']
adaptation signals,['adapt' 'signal']
adaptation solutions,['adapt']
adaptation stakeholders,['adapt' 'stakehold']
adaptation strategies,['adapt' 'strategi']
adaptation strategy,['adapt' 'strategi']
adaptation strategy implementation,['adapt' 'implement' 'strategi']
adaptation studies,['adapt' 'studi']
adaptation technologies,['adapt' 'technolog']
adaptation thresholds,['adapt' 'threshold']
adaptation tipping points,['adapt' 'point' 'tip']
adaptation to climate change,['adapt' 'climat']
adaptation to floods,['adapt' 'flood']
adaptation tool,['adapt' 'tool']
adaptation turning points,['adapt' 'point' 'turn']
adaptations,['adapt']
adapting action,['action' 'adapt']
adapting agriculture,['adapt']
adapting strategies,['adapt' 'strategi']
adaption approaches,['adapt' 'approach']
adaptive,['adapt']
